Model,Episode,Reward,Stopping_Time
Martingale,76,1.0,5
Martingale,77,1.0,4
Martingale,78,0.979937150930193,4
Martingale,79,0.9768067201237386,3
Martingale,80,0.38229662722764973,8
Martingale,81,0.2979877710568549,7
Martingale,82,0.5,0
Martingale,83,0.7033577379449637,7
Martingale,84,0.0,8
Martingale,85,0.06099684474650957,8
Martingale,86,0.26959919638088015,8
Martingale,87,0.785124141065425,8
Martingale,88,0.7455476864824838,8
Martingale,89,1.0,1
Martingale,90,0.5,0
Martingale,91,1.0,4
Martingale,92,1.0,2
Martingale,93,1.0,1
Martingale,94,0.5,0
Martingale,95,0.5,0
Martingale,96,0.8130705018503451,6
Martingale,97,0.8130705018503451,5
Martingale,98,0.6397210925006113,8
Martingale,99,0.0,1
Martingale,100,0.5,0
Martingale,101,0.5,0
Martingale,102,0.0,1
Martingale,103,0.0,7
Martingale,104,0.25631250014397683,8
Martingale,105,0.3901488852888996,7
Martingale,106,0.3901488852888996,6
Martingale,107,0.0,2
Martingale,108,0.0,1
Martingale,109,0.5,0
Martingale,110,0.5,0
Martingale,111,0.5,0
Martingale,112,0.5,0
Martingale,113,0.0,2
Martingale,114,0.0,1
Martingale,115,0.5,0
Martingale,116,0.5,0
Martingale,117,0.39936928732841015,6
Martingale,118,0.6144573311538372,5
Martingale,119,0.525238058171818,6
Martingale,120,1.0,1
Martingale,121,0.5,0
Martingale,122,0.5,0
Martingale,123,1.0,5
Martingale,124,0.0,2
Martingale,125,0.0,1
Martingale,126,0.9130222223523314,3
Martingale,127,1.0,3
Martingale,128,1.0,2
Martingale,129,0.5934187914717289,2
Martingale,130,0.5,0
Martingale,131,0.5,0
Martingale,132,0.5143627339645617,8
Martingale,133,0.0,8
Martingale,134,0.07188374958002151,8
Martingale,135,0.5461921827752255,8
Martingale,136,0.9869134281554471,8
Martingale,137,1.0,8
Martingale,138,1.0,8
Martingale,139,0.5136270199561352,8
Martingale,140,0.5136270199561352,7
Martingale,141,1.0,1
Martingale,142,0.5,0
Martingale,143,0.5,0
Martingale,144,0.5,0
Martingale,145,0.5,0
Martingale,146,1.0,2
Martingale,147,1.0,1
Martingale,148,0.0,2
Martingale,149,0.9827242040846064,6
Martingale,150,0.6044342990359151,4
Martingale,151,0.0,5
Martingale,152,0.5,0
Martingale,153,0.0,1
Martingale,154,1.0,3
Martingale,155,0.5,0
Martingale,156,1.0,1
Martingale,157,0.5,0
Martingale,158,0.5,0
Martingale,159,0.5,0
Martingale,160,0.5,0
Martingale,161,1.0,2
Martingale,162,1.0,1
Martingale,163,0.5,0
Martingale,164,0.5,0
Martingale,165,0.5,0
Martingale,166,0.5,0
Martingale,167,0.8535151111867662,8
Martingale,168,0.0,1
Martingale,169,0.5,0
Martingale,170,0.5,0
Martingale,171,0.5,0
Martingale,172,0.5,0
Martingale,173,0.5,0
Martingale,174,1.0,5
Martingale,175,1.0,4
Martingale,176,1.0,3
Martingale,177,0.5764610233314418,3
Martingale,178,0.0,3
Martingale,179,0.0,4
Martingale,180,0.0,3
Martingale,181,0.0,2
Martingale,182,0.0,1
Martingale,183,1.0,1
Martingale,184,0.5,0
Martingale,185,0.5,0
Martingale,186,0.5,0
Martingale,187,0.5,0
